date,region,wind
2006-04-23 00:00:00,ouest,modere 
2006-04-24 00:00:00,-,faible 
2006-04-25 00:00:00,-,modere 
2006-04-26 00:00:00,nord,modere 
2006-04-27 00:00:00,nord,faible 
2006-04-28 00:00:00,nord,modere 
2006-04-29 00:00:00,nord,modere 
2006-04-30 00:00:00,sud,modere 
2006-05-01 00:00:00,-,modere 
2006-05-02 00:00:00,sud,modere 
2006-05-03 00:00:00,-,faible 
2006-05-04 00:00:00,-,faible 
2006-05-05 00:00:00,-,faible 
2006-05-06 00:00:00,-,faible 
2006-05-07 00:00:00,-,modere 
2006-05-09 00:00:00,-,modere 
2006-05-10 00:00:00,-,faible 
2006-05-15 00:00:00,nord,modere 
2006-05-18 00:00:00,-,faible 
2006-05-22 00:00:00,est,fort 
2006-05-24 00:00:00,nord,modere 
,sud,fort 
2006-05-28 00:00:00,ouest,fort 
2006-06-01 00:00:00,nord,modere 
2006-06-03 00:00:00,-,modere 
2006-06-06 00:00:00,nord,modere 
2006-06-09 00:00:00,-,faible 
2006-08-03 00:00:00,-,modere 
2006-08-04 00:00:00,-,modere 
2006-08-07 00:00:00,-,modere 
2006-08-28 00:00:00,ouest,modere 
,sud,faible 
2006-11-16 00:00:00,-,modere 
2006-11-18 00:00:00,sud,modere 
2006-11-21 00:00:00,-,modere 
2006-11-24 00:00:00,nord,fort 
,sud,modere 
2006-12-07 00:00:00,sud,modere 
2006-12-09 00:00:00,-,faible 
2006-12-10 00:00:00,nord,modere 
2006-12-11 00:00:00,-,faible 
2006-12-12 00:00:00,ouest,modere 
2006-12-13 00:00:00,-,faible 
2006-12-14 00:00:00,-,faible 
2006-12-15 00:00:00,sud,modere 
2006-12-16 00:00:00,sud,modere 
,-,modere 
2006-12-18 00:00:00,nord,modere 
2006-12-19 00:00:00,nord,modere 
2006-12-20 00:00:00,est,modere 
2006-12-21 00:00:00,nord,modere 
,est,faible 
2006-12-22 00:00:00,-,fort 
2006-12-23 00:00:00,ouest,fort 
2006-12-24 00:00:00,-,modere 
2006-12-28 00:00:00,ouest,modere 
2006-12-30 00:00:00,nord,modere 
,sud,faible 
2006-12-31 00:00:00,ouest,fort 
2007-01-01 00:00:00,-,modere 
2007-01-02 00:00:00,-,fort 
2007-01-03 00:00:00,nord,fort 
,ouest,modere 
2007-01-04 00:00:00,ouest,fort 
2007-01-05 00:00:00,nord,modere 
2007-01-06 00:00:00,ouest,modere 
2007-01-07 00:00:00,ouest,modere 
,est,faible 
2007-01-08 00:00:00,nord,fort 
,ouest,modere 
2007-01-09 00:00:00,ouest,fort 
2007-01-10 00:00:00,ouest,faible 
2007-01-11 00:00:00,-,modere 
2007-01-12 00:00:00,ouest,modere 
2007-01-13 00:00:00,-,faible 
2007-01-14 00:00:00,-,faible 
2007-01-15 00:00:00,-,faible 
2007-01-16 00:00:00,-,faible 
2007-01-17 00:00:00,sud,modere 
2007-01-18 00:00:00,ouest,fort 
2007-01-19 00:00:00,-,modere 
